Segment,Country,Product,Discount Band,Units Sold,Procurement,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Sales_MA_3,Date_ISO
Government,Germany,VTT,Medium,422,54860,250,350,147700,11816,135884,109720,244907,2018-08-02
Midmarket,France,Paseo,Medium,1227,6135,10,15,18405,1656,16748,12270,56474,2018-08-03
Enterprise,Mexico,Amarilla,High,947,56820,260,125,118375,13021,105353,113640,85995,2018-08-03
Midmarket,Germany,Velo,High,681,3405,120,15,10215,1021,9193,6810,43765,2018-08-04
Small Business,France,Montana,Medium,1562,195250,5,300,468600,37488,431112,390500,181886,2018-08-05
Government,Canada,Amarilla,High,2734,6835,260,7,19138,2296,16841,13670,152382,2018-08-05
Enterprise,Canada,Carretera,High,2416,144960,3,125,302000,36240,265760,289920,237904,2018-08-07
Enterprise,Mexico,Montana,Low,1138,68280,5,125,142250,5690,136560,136560,139720,2018-08-07
Small Business,Canada,Carretera,Medium,1094,136750,3,300,328200,29538,298662,273500,233661,2018-08-07
Midmarket,Mexico,Paseo,None,974,4870,10,15,14610,0,14610,9740,149944,2018-08-10
Government,United States of America,VTT,Low,349,45370,250,350,122150,4886,117264,90740,143512,2018-08-10
Government,Germany,Montana,Medium,1159,2897,5,7,8113,405,7707,5795,46527,2018-08-10
Government,Canada,Paseo,Medium,2349,5872,10,7,16443,822,15620,11745,46864,2018-08-10
Government,Canada,Paseo,Low,2074,10370,10,20,41480,1659,39820,20740,21049,2018-08-13
Channel Partners,United States of America,Amarilla,High,2914,4371,260,12,34968,4895,30072,8742,28504,2018-08-13
Small Business,Mexico,Paseo,None,788,98500,10,300,236400,0,236400,197000,102097,2018-08-13
Channel Partners,France,VTT,Low,866,1299,250,12,10392,415,9976,2598,92149,2018-08-14
Government,Germany,Carretera,High,792,102960,3,350,277200,30492,246708,205920,164361,2018-08-15
Small Business,Canada,Amarilla,Low,1916,239500,260,300,574800,11496,563304,479000,273329,2018-08-16
Government,United States of America,Carretera,Medium,570,1425,3,7,3990,199,3790,2850,271267,2018-08-16
Government,Mexico,VTT,Low,1940,252200,250,350,679000,13580,665420,504400,410838,2018-08-17
Small Business,Mexico,Paseo,High,591,73875,10,300,177300,17730,159570,147750,276260,2018-08-18
Government,Germany,Paseo,Medium,1259,3147,10,7,8813,705,8107,6295,277699,2018-08-19
Enterprise,Germany,Amarilla,None,4219,253170,260,125,527437,0,527437,506340,231705,2018-08-20
Channel Partners,Canada,Paseo,None,2518,3777,10,12,30216,0,30216,7554,188587,2018-08-20
Government,Germany,Paseo,Medium,2409,6022,10,7,16863,1349,15513,12045,191055,2018-08-21
Enterprise,Canada,Velo,None,345,20700,120,125,43125,0,43125,41400,29618,2018-08-22
Midmarket,France,Amarilla,High,2072,10360,260,15,31080,3108,27972,20720,28870,2018-08-22
Channel Partners,Germany,Amarilla,High,2574,3861,260,12,30888,3088,27799,7722,32965,2018-08-23
Government,Germany,Montana,High,2992,14960,5,20,59840,6582,53257,29920,36343,2018-08-23
Small Business,Canada,VTT,Medium,2134,266750,250,300,640200,51216,588984,533500,223347,2018-08-25
Government,France,Paseo,Medium,2136,5340,10,7,14952,747,14204,10680,218815,2018-08-26
Government,France,VTT,None,1527,198510,250,350,534450,0,534450,397020,379213,2018-08-27
Government,Mexico,Carretera,Medium,521,1302,3,7,3647,328,3318,2605,183991,2018-08-28
Channel Partners,United States of America,Carretera,Low,1947,2920,3,12,23364,700,22663,5841,186810,2018-08-29
Midmarket,Canada,Carretera,High,2689,13445,3,15,40335,4840,35494,26890,20492,2018-08-30
Government,United States of America,Paseo,Low,1056,5280,10,20,21120,844,20275,10560,26144,2018-08-31
Government,United States of America,Velo,Low,1566,7830,120,20,31320,626,30693,15660,28821,2018-09-01
Midmarket,Germany,Montana,None,921,4605,5,15,13815,0,13815,9210,21594,2018-09-02
Enterprise,Germany,Paseo,Low,1706,102360,10,125,213250,6397,206852,204720,83787,2018-09-02
Enterprise,France,Amarilla,High,1433,85980,260,125,179125,19703,159421,171960,126696,2018-09-02
Government,Germany,Amarilla,Low,1907,247910,260,350,667450,26698,640752,495820,335675,2018-09-02
Government,United States of America,VTT,Low,266,34580,250,350,93100,1862,91238,69160,297137,2018-09-03
Government,Mexico,Paseo,Medium,1946,4865,10,7,13622,1089,12532,9730,248174,2018-09-04
Midmarket,France,Paseo,High,2167,10835,10,15,32505,3250,29254,21670,44341,2018-09-04
Small Business,Mexico,Montana,High,546,68250,5,300,163800,24570,139230,136500,60339,2018-09-05
Government,United States of America,VTT,Medium,2663,13315,250,20,53260,2663,50597,26630,73027,2018-09-06
Midmarket,Germany,Paseo,Low,1945,9725,10,15,29175,875,28299,19450,72709,2018-09-07
Enterprise,Mexico,VTT,High,341,20460,250,125,42625,4262,38362,40920,39086,2018-09-07
Government,France,VTT,High,1491,3727,250,7,10437,1252,9184,7455,25282,2018-09-07
Government,France,Paseo,Medium,1303,6515,10,20,26060,1303,24757,13030,24101,2018-09-07
Enterprise,United States of America,Amarilla,High,2844,170640,260,125,355500,49770,305730,341280,113224,2018-09-08
Government,United States of America,Carretera,Medium,263,657,3,7,1841,110,1730,1315,110739,2018-09-08
Government,Canada,VTT,Medium,1582,3955,250,7,11074,775,10298,7910,105919,2018-09-08
Midmarket,United States of America,Paseo,Low,671,3355,10,15,10065,402,9662,6710,7230,2018-09-08
Channel Partners,Canada,Carretera,Medium,2299,3448,3,12,27588,1655,25932,6897,15297,2018-09-09
Government,Mexico,Amarilla,High,2039,10195,260,20,40780,4078,36702,20390,24099,2018-09-09
Government,France,Velo,Low,2177,283010,120,350,761950,30478,731472,566020,264702,2018-09-09
Enterprise,United States of America,Paseo,Medium,861,51660,10,125,107625,5381,102243,103320,290139,2018-09-10
Small Business,United States of America,Amarilla,High,2993,374125,260,300,897900,89790,808110,748250,547275,2018-09-11
Government,Mexico,Paseo,High,2151,279630,10,350,752850,112927,639922,559260,516758,2018-09-11
Midmarket,Mexico,Amarilla,High,2157,10785,260,15,32355,3559,28795,21570,492276,2018-09-11
Midmarket,United States of America,Paseo,Medium,2198,10990,10,15,32970,1978,30991,21980,233236,2018-09-12
Small Business,Canada,Paseo,Medium,1702,212750,10,300,510600,35742,474858,425500,178215,2018-09-13
Government,Germany,Amarilla,Medium,1366,6830,260,20,27320,2185,25134,13660,176994,2018-09-13
Midmarket,Germany,Velo,High,660,3300,120,15,9900,1287,8613,6600,169535,2018-09-14
Government,United States of America,Paseo,Low,3450,448500,10,350,1207500,48300,1159200,897000,397649,2018-09-14
Channel Partners,Canada,Paseo,High,4026,6039,10,12,48312,5314,42997,12078,403603,2018-09-14
Small Business,Canada,Paseo,Low,1916,239500,10,300,574800,11496,563304,479000,588500,2018-09-14
Midmarket,United States of America,Carretera,Medium,2030,10150,3,15,30450,1827,28623,20300,211641,2018-09-15
Enterprise,Germany,Paseo,High,1085,65100,10,125,135625,20343,115281,130200,235736,2018-09-15
Small Business,Canada,Montana,Medium,3802,475312,5,300,1140750,102667,1038082,950625,393995,2018-09-16
Government,Germany,VTT,Low,2877,374010,250,350,1006950,20139,986811,748020,713391,2018-09-17
Enterprise,Canada,VTT,High,2529,151740,250,125,316125,31612,284512,303480,769802,2018-09-17
Enterprise,United States of America,Paseo,Medium,2992,179520,10,125,374000,18700,355300,359040,542208,2018-09-17
Government,France,Velo,Low,3864,19320,120,20,77280,772,76507,38640,238773,2018-09-17
Government,Mexico,VTT,Low,1940,252200,250,350,679000,13580,665420,504400,365742,2018-09-17
Channel Partners,Canada,Carretera,Medium,2299,3448,3,12,27588,1655,25932,6897,255953,2018-09-17
Small Business,Mexico,Amarilla,Low,1101,137625,260,300,330300,6606,323694,275250,338349,2018-09-18
Government,United States of America,Carretera,High,2996,7490,3,7,20972,2936,18035,14980,122554,2018-09-18
Government,Canada,VTT,Low,1326,3315,250,7,9282,92,9189,6630,116973,2018-09-19
Government,Canada,Amarilla,High,707,91910,260,350,247450,24745,222705,183820,83310,2018-09-20
Government,Canada,Montana,High,2734,6835,5,7,19138,2296,16841,13670,82912,2018-09-20
Small Business,Mexico,VTT,Medium,2747,343375,250,300,824100,57687,766413,686750,335320,2018-09-20
Government,Canada,Montana,Medium,488,1220,5,7,3416,273,3142,2440,262132,2018-09-20
Government,Mexico,Amarilla,Low,1865,242450,260,350,652750,26110,626640,484900,465398,2018-09-20
Government,United States of America,Paseo,High,380,950,10,7,2660,292,2367,1900,210716,2018-09-20
Enterprise,Germany,Paseo,Low,1570,94200,10,125,196250,5887,190362,188400,273123,2018-09-21
Government,Canada,Carretera,Low,2851,7127,3,7,19957,798,19158,14255,70629,2018-09-22
Government,France,Amarilla,High,3421,8553,260,7,23950,2874,21076,17107,76865,2018-09-22
Channel Partners,Mexico,Paseo,High,571,856,10,12,6852,890,5961,1713,15398,2018-09-23
Enterprise,Germany,Paseo,Low,795,47700,10,125,99375,3975,95400,95400,40812,2018-09-24
Government,France,Carretera,Medium,2487,6217,3,7,17409,870,16538,12435,39300,2018-09-24
Channel Partners,France,Paseo,Low,1785,2677,10,12,21420,428,20991,5355,44310,2018-09-25
Government,Canada,VTT,Medium,1582,3955,250,7,11074,775,10298,7910,15942,2018-09-25
Midmarket,United States of America,Paseo,Medium,2198,10990,10,15,32970,1978,30991,21980,20760,2018-09-25
Government,Canada,Velo,Medium,1582,3955,120,7,11074,775,10298,7910,17196,2018-09-25
Government,Mexico,Carretera,High,2706,6765,3,7,18942,2083,16858,13530,19382,2018-09-25
Government,Mexico,Paseo,High,1715,8575,10,20,34300,4116,30184,17150,19113,2018-09-25
Channel Partners,United States of America,Montana,Medium,2723,4084,5,12,32676,1960,30715,8169,25919,2018-09-25
Government,Germany,Paseo,Medium,1934,9670,10,20,38680,3094,35585,19340,32161,2018-09-25
Small Business,Germany,Paseo,High,807,100875,10,300,242100,31473,210627,201750,92309,2018-09-26
Channel Partners,Canada,Velo,Medium,598,897,120,12,7176,574,6601,1794,84271,2018-09-26
Midmarket,Canada,Paseo,High,1565,7825,10,15,23475,3051,20423,15650,79217,2018-09-26
Small Business,France,Paseo,Medium,1324,165500,10,300,397200,35748,361452,331000,129492,2018-09-27
Government,France,Velo,High,639,83070,120,350,223650,22365,201285,166140,194387,2018-09-27
Government,France,Montana,Medium,1403,3507,5,7,9821,589,9231,7015,190656,2018-09-28
Midmarket,France,Paseo,Medium,1227,6135,10,15,18405,1656,16748,12270,75755,2018-09-28
Government,Germany,Montana,Low,1797,233610,5,350,628950,18868,610081,467220,212020,2018-09-29
Midmarket,Mexico,Paseo,None,2472,12360,10,15,37080,0,37080,24720,221303,2018-09-30
Small Business,Germany,Carretera,Low,214,26750,3,300,64200,1284,62916,53500,236692,2018-09-30
Government,United States of America,Carretera,Medium,263,657,3,7,1841,110,1730,1315,33909,2018-10-01
Small Business,France,Paseo,Medium,448,56000,10,300,134400,9408,124992,112000,63213,2018-10-01
Channel Partners,United States of America,VTT,High,1806,2709,250,12,21672,3250,18421,5418,48381,2018-10-01
Enterprise,United States of America,Paseo,Low,727,43620,10,125,90875,908,89966,87240,77793,2018-10-02
Government,Germany,Amarilla,Medium,1520,7600,260,20,30400,2432,27968,15200,45452,2018-10-02
Government,United States of America,Amarilla,Medium,2071,269230,260,350,724850,65236,659613,538460,259182,2018-10-02
Government,Mexico,Velo,High,344,44720,120,350,120400,13244,107156,89440,264912,2018-10-02
Enterprise,Mexico,Velo,Medium,2110,126600,120,125,263750,23737,240012,253200,335594,2018-10-02
Channel Partners,Mexico,Carretera,Medium,562,843,3,12,6744,404,6339,1686,117836,2018-10-02
Government,Canada,Amarilla,Medium,552,71760,260,350,193200,9660,183540,143520,143297,2018-10-03
Midmarket,Germany,Amarilla,Medium,970,4850,260,15,14550,1309,13240,9700,67706,2018-10-03
Midmarket,Germany,VTT,High,492,2460,250,15,7380,1107,6273,4920,67684,2018-10-03
Government,Mexico,Velo,Medium,1498,3745,120,7,10486,629,9856,7490,9790,2018-10-03
Small Business,Canada,Paseo,Medium,1404,175500,10,300,421200,29484,391716,351000,135948,2018-10-04
Government,United States of America,Paseo,Medium,602,78260,10,350,210700,10535,200165,156520,200579,2018-10-05
Government,France,Paseo,Medium,1496,194480,10,350,523600,31416,492184,388960,361355,2018-10-05
Channel Partners,Mexico,Velo,Low,1084,1626,120,12,13008,260,12747,3252,235032,2018-10-06
Channel Partners,France,Amarilla,Medium,306,459,260,12,3672,330,3341,918,169424,2018-10-06
Small Business,France,Velo,Medium,1659,207375,120,300,497700,34839,462861,414750,159650,2018-10-06
Channel Partners,Canada,VTT,Medium,3244,4866,250,12,38934,2725,36208,9733,167470,2018-10-06
Small Business,Mexico,Paseo,Medium,1607,200875,10,300,482100,24105,457995,401750,319021,2018-10-07
Midmarket,Mexico,Velo,Medium,2628,13140,120,15,39420,3547,35872,26280,176692,2018-10-07
Channel Partners,United States of America,Carretera,Low,1858,2787,3,12,22296,222,22073,5574,171980,2018-10-08
Government,France,VTT,Medium,381,49530,250,350,133350,10668,122682,99060,60209,2018-10-08
Midmarket,Germany,Paseo,High,278,1390,10,15,4170,583,3586,2780,49447,2018-10-08
Small Business,United States of America,Paseo,Medium,991,123875,10,300,297300,14865,282435,247750,136234,2018-10-09
Government,Mexico,Velo,Medium,609,3045,120,20,12180,852,11327,6090,99116,2018-10-10
Enterprise,United States of America,Montana,Low,663,39780,5,125,82875,828,82046,79560,125269,2018-10-11
Midmarket,Canada,Paseo,High,2559,12795,10,15,38385,5757,32627,25590,42000,2018-10-11
Small Business,Germany,Paseo,Low,1414,176812,10,300,424350,16974,407376,353625,174016,2018-10-11
Government,United States of America,Amarilla,Low,1236,6180,260,20,24720,494,24225,12360,154743,2018-10-12
Small Business,Canada,VTT,High,1496,187000,250,300,448800,62832,385968,374000,272523,2018-10-12
Government,United States of America,Carretera,High,1743,8715,3,20,34860,4880,29979,17430,146724,2018-10-12
Government,Canada,Carretera,Low,2852,370760,3,350,998200,19964,978236,741520,464728,2018-10-13
Government,France,Velo,High,2805,14025,120,20,56100,6171,49929,28050,352715,2018-10-13
Government,United States of America,VTT,High,986,128180,250,350,345100,41412,303688,256360,443951,2018-10-13
Government,Canada,Paseo,Medium,1802,9010,10,20,36040,1802,34238,18020,129285,2018-10-13
Enterprise,Germany,Paseo,Low,1570,94200,10,125,196250,5887,190362,188400,176096,2018-10-14
Government,France,Paseo,High,1731,4327,10,7,12117,1696,10420,8655,78340,2018-10-14
Government,Mexico,Montana,Medium,720,93600,5,350,252000,12600,239400,187200,146727,2018-10-14
Government,Canada,Paseo,Medium,1228,159640,10,350,429800,21490,408310,319280,219377,2018-10-15
Government,Canada,Velo,Medium,1269,164970,120,350,444150,39973,404176,329940,350629,2018-10-15
Government,Canada,Paseo,Medium,1389,6945,10,20,27780,1389,26391,13890,279626,2018-10-15
Enterprise,France,Carretera,High,1482,88920,3,125,185250,18525,166725,177840,199097,2018-10-16
Enterprise,Mexico,Carretera,High,2821,169260,3,125,352625,49367,303257,338520,165458,2018-10-16
Small Business,United States of America,Carretera,High,1010,126250,3,300,303000,42420,260580,252500,243521,2018-10-16
Midmarket,Mexico,Montana,None,2470,12350,5,15,37050,0,37050,24700,200296,2018-10-16
Government,Germany,Paseo,Medium,1366,6830,10,20,27320,2185,25134,13660,107588,2018-10-16
Government,Canada,Carretera,High,923,119990,3,350,323050,41996,281053,239980,114412,2018-10-16
Government,France,Velo,Low,3864,19320,120,20,77280,772,76507,38640,127565,2018-10-17
Midmarket,Canada,Paseo,None,2152,10760,10,15,32280,0,32280,21520,129947,2018-10-17
Enterprise,Canada,Amarilla,High,1659,99540,260,125,207375,26958,180416,199080,96401,2018-10-18
Government,United States of America,Paseo,High,267,1335,10,20,5340,801,4539,2670,72412,2018-10-18
Channel Partners,Canada,Paseo,None,2518,3777,10,12,30216,0,30216,7554,71724,2018-10-18
Government,United States of America,Paseo,None,1143,2857,10,7,8001,0,8001,5715,14252,2018-10-18
Government,France,Montana,Low,544,1360,5,7,3808,114,3693,2720,13970,2018-10-19
Small Business,Germany,Paseo,Low,689,86125,10,300,206700,6201,200499,172250,70731,2018-10-19
Midmarket,France,Amarilla,High,2072,10360,260,15,31080,3108,27972,20720,77388,2018-10-20
Midmarket,United States of America,Velo,Medium,555,2775,120,15,8325,416,7908,5550,78793,2018-10-20
Government,United States of America,Velo,High,986,128180,120,350,345100,41412,303688,256360,113189,2018-10-20
Government,United States of America,VTT,Low,349,45370,250,350,122150,4886,117264,90740,142953,2018-10-21
Government,Mexico,Amarilla,Low,1865,242450,260,350,652750,26110,626640,484900,349197,2018-10-21
Midmarket,Mexico,Carretera,None,1618,8092,3,20,32370,0,32370,16185,258758,2018-10-21
Small Business,Mexico,VTT,Low,494,61750,250,300,148200,1482,146718,123500,268576,2018-10-21
Enterprise,Mexico,Paseo,Low,1823,109380,10,125,227875,2278,225596,218760,134895,2018-10-22
Small Business,Mexico,VTT,Medium,2747,343375,250,300,824100,57687,766413,686750,379576,2018-10-22
Enterprise,Germany,Amarilla,Low,2276,136560,260,125,284500,5690,278810,273120,423606,2018-10-23
Government,France,Montana,High,293,732,5,7,2051,287,1763,1465,348995,2018-10-23
Government,Canada,Montana,High,200,26000,5,350,70000,9800,60200,52000,113591,2018-10-23
Government,Germany,Paseo,None,1513,196690,10,350,529550,0,529550,393380,197171,2018-10-23
Small Business,Mexico,Montana,None,958,119750,5,300,287400,0,287400,239500,292383,2018-10-24
Enterprise,Germany,VTT,Low,1570,94200,250,125,196250,5887,190362,188400,335771,2018-10-24
Enterprise,United States of America,Velo,Medium,861,51660,120,125,107625,5381,102243,103320,193335,2018-10-24
Government,Germany,Carretera,Low,2580,12900,3,20,51600,1548,50052,25800,114219,2018-10-24
Government,Germany,Paseo,High,241,1205,10,20,4820,482,4338,2410,52211,2018-10-25
Enterprise,Canada,VTT,High,1583,94980,250,125,197875,25723,172151,189960,75514,2018-10-25
Government,United States of America,Paseo,High,267,1335,10,20,5340,801,4539,2670,60343,2018-10-25
Enterprise,United States of America,Velo,Medium,861,51660,120,125,107625,5381,102243,103320,92978,2018-10-25
Government,United States of America,Paseo,Medium,727,94510,10,350,254450,15267,239183,189020,115322,2018-10-25
Midmarket,Germany,Paseo,Low,747,3735,10,15,11205,112,11092,7470,117506,2018-10-26
Channel Partners,United States of America,Velo,High,914,1371,120,12,10968,1645,9322,2742,86532,2018-10-26
Channel Partners,Mexico,Amarilla,Medium,1123,1684,260,12,13476,673,12802,3369,11072,2018-10-26
Small Business,France,Velo,Medium,386,48250,120,300,115800,9264,106536,96500,42887,2018-10-26
Government,United States of America,Paseo,Low,4492,11231,10,7,31447,314,31133,22462,50157,2018-10-27
Enterprise,Canada,Amarilla,Medium,1645,98700,260,125,205625,14393,191231,197400,109633,2018-10-27
Small Business,Germany,Montana,Low,1859,232375,5,300,557700,22308,535392,464750,252585,2018-10-27
Government,Mexico,Montana,High,1715,8575,5,20,34300,4116,30184,17150,252269,2018-10-27
Government,Germany,Paseo,High,1531,7655,10,20,30620,3674,26945,15310,197507,2018-10-28
Small Business,Mexico,VTT,Low,494,61750,250,300,148200,1482,146718,123500,67949,2018-10-28
Government,France,Amarilla,Low,941,4705,260,20,18820,376,18443,9410,64035,2018-10-28
Government,Germany,Paseo,Medium,2409,6022,10,7,16863,1349,15513,12045,60225,2018-10-28
Midmarket,United States of America,Paseo,Medium,2931,14655,10,15,43965,3077,40887,29310,24948,2018-10-28
Government,Canada,Montana,High,2227,289575,5,350,779625,109147,670477,579150,242292,2018-10-30
Channel Partners,France,Amarilla,High,2475,3712,260,12,29700,4158,25542,7425,245635,2018-10-30
Channel Partners,Germany,Montana,None,1545,2317,5,12,18540,0,18540,4635,238186,2018-10-30
Midmarket,United States of America,Amarilla,Low,671,3355,260,15,10065,402,9662,6710,17915,2018-10-30
Enterprise,France,Paseo,Medium,2385,143100,10,125,298125,14906,283218,286200,103807,2018-10-30
Government,Germany,Velo,Medium,1001,5005,120,20,20020,1201,18818,10010,103899,2018-10-30
Enterprise,Canada,Velo,Medium,567,34020,120,125,70875,6378,64496,68040,122177,2018-10-30
Government,Mexico,Carretera,Low,1210,157300,3,350,423500,4235,419265,314600,167526,2018-10-30
Government,United States of America,Paseo,Low,2013,5032,10,7,14091,281,13809,10065,165857,2018-10-30
Midmarket,Canada,Amarilla,Medium,1630,8152,260,15,24457,2201,22256,16305,151777,2018-10-30
Government,United States of America,Amarilla,Medium,1282,6410,260,20,25640,2051,23588,12820,19884,2018-10-31
Government,United States of America,Velo,High,606,3030,120,20,12120,1696,10423,6060,18756,2018-10-31
Government,France,Amarilla,High,1731,4327,260,7,12117,1696,10420,8655,14810,2018-10-31
Government,Canada,Amarilla,Medium,1228,159640,260,350,429800,21490,408310,319280,143051,2018-10-31
Government,Mexico,Paseo,High,260,1300,10,20,5200,728,4472,2600,141067,2018-10-31
Enterprise,Mexico,Velo,Medium,2110,126600,120,125,263750,23737,240012,253200,217598,2018-11-01
Government,Canada,VTT,High,2935,14675,250,20,58700,6457,52243,29350,98909,2018-11-01
Channel Partners,Mexico,Velo,High,604,906,120,12,7248,942,6305,1812,99520,2018-11-01
Government,France,Paseo,Medium,1535,7675,10,20,30700,2149,28551,15350,29033,2018-11-01
Government,Germany,Carretera,Medium,663,3315,3,20,13260,1193,12066,6630,15641,2018-11-01
Government,Canada,Velo,High,1808,4520,120,7,12656,1392,11263,9040,17293,2018-11-01
Small Business,France,Amarilla,High,2475,309375,260,300,742500,111375,631125,618750,218151,2018-11-01
Channel Partners,Canada,VTT,Medium,3244,4866,250,12,38934,2725,36208,9733,226199,2018-11-03
Government,Canada,Amarilla,High,707,91910,260,350,247450,24745,222705,183820,296679,2018-11-03
Enterprise,Germany,Paseo,Low,1570,94200,10,125,196250,5887,190362,188400,149758,2018-11-03
Government,Germany,Montana,High,2992,14960,5,20,59840,6582,53257,29920,155441,2018-11-03
Channel Partners,Canada,Paseo,Medium,2431,3646,10,12,29172,1458,27713,7293,90444,2018-11-04
Government,Germany,Montana,Medium,1159,2897,5,7,8113,405,7707,5795,29559,2018-11-04
Small Business,France,Montana,Medium,322,40250,5,300,96600,8694,87906,80500,41109,2018-11-05
Government,Mexico,Velo,Medium,1333,3332,120,7,9331,559,8771,6665,34795,2018-11-05
Small Business,United States of America,VTT,Medium,808,101000,250,300,242400,19392,223008,202000,106562,2018-11-05
Government,United States of America,VTT,Medium,436,2182,250,20,8730,698,8031,4365,79937,2018-11-05
Small Business,United States of America,Velo,High,2460,307500,120,300,738000,103320,634680,615000,288573,2018-11-05
Small Business,France,Amarilla,High,853,106625,260,300,255900,25590,230310,213250,291007,2018-11-06
Government,Canada,Velo,Low,2646,13230,120,20,52920,2116,50803,26460,305264,2018-11-06
Government,Mexico,VTT,High,1233,6165,250,20,24660,2959,21700,12330,100938,2018-11-06
Midmarket,Canada,Paseo,High,2470,12350,10,15,37050,5187,31863,24700,34789,2018-11-07
Government,Germany,Velo,Low,2877,374010,120,350,1006950,20139,986811,748020,346791,2018-11-07
Channel Partners,Mexico,Montana,High,604,906,5,12,7248,942,6305,1812,341660,2018-11-07
Enterprise,United States of America,Velo,High,2438,146280,120,125,304750,45712,259037,292560,417384,2018-11-09
Midmarket,United States of America,Amarilla,High,2548,12740,260,15,38220,4586,33633,25480,99658,2018-11-09
Government,United States of America,VTT,Low,266,34580,250,350,93100,1862,91238,69160,127969,2018-11-09
Midmarket,Mexico,Carretera,None,1618,8092,3,20,32370,0,32370,16185,52414,2018-11-10
Small Business,France,Paseo,Medium,1324,165500,10,300,397200,35748,361452,331000,161687,2018-11-10
Government,Canada,Amarilla,Medium,1269,164970,260,350,444150,39973,404176,329940,265999,2018-11-10
Small Business,Germany,Amarilla,Medium,1250,156250,260,300,375000,18750,356250,312500,373959,2018-11-10
Midmarket,United States of America,Amarilla,None,615,3075,260,15,9225,0,9225,6150,256550,2018-11-10
Midmarket,Germany,Paseo,Medium,1743,8715,10,15,26145,1568,24576,17430,130017,2018-11-10
Government,Germany,Montana,Low,1958,4895,5,7,13706,411,13294,9790,15698,2018-11-11
Channel Partners,Germany,Paseo,None,367,550,10,12,4404,0,4404,1101,14091,2018-11-12
Enterprise,Germany,Paseo,Medium,3513,210780,10,125,439125,30738,408386,421560,142028,2018-11-12
Enterprise,France,Carretera,High,2441,146460,3,125,305125,33563,271561,292920,228117,2018-11-12
Government,France,Carretera,Medium,1563,7815,3,20,31260,1563,29697,15630,236548,2018-11-12
Government,Germany,Paseo,High,241,1205,10,20,4820,482,4338,2410,101865,2018-11-12
Government,Mexico,Paseo,High,886,115180,10,350,310100,37212,272888,230360,102308,2018-11-12
Channel Partners,France,VTT,Medium,2234,3351,250,12,26808,2412,24395,6702,100540,2018-11-13
Midmarket,France,Paseo,Medium,2101,10505,10,15,31515,2206,29308,21010,108864,2018-11-13
Enterprise,Germany,Velo,Low,809,48540,120,125,101125,2022,99102,97080,50935,2018-11-13
Midmarket,Canada,Paseo,None,2152,10760,10,15,32280,0,32280,21520,53563,2018-11-14
Midmarket,Canada,Amarilla,High,1743,8715,260,15,26145,3660,22484,17430,51289,2018-11-14
Government,Germany,Amarilla,Medium,1520,7600,260,20,30400,2432,27968,15200,27577,2018-11-14
Government,Germany,Amarilla,None,1686,4215,260,7,11802,0,11802,8430,20751,2018-11-14
Small Business,United States of America,Amarilla,High,2993,374125,260,300,897900,89790,808110,748250,282627,2018-11-14
Channel Partners,Germany,Amarilla,High,2574,3861,260,12,30888,3088,27799,7722,282570,2018-11-14
Midmarket,France,Amarilla,High,2072,10360,260,15,31080,3108,27972,20720,287960,2018-11-14
