Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Profit Parsed,Date_ISO
Government,United States of America,VTT,Medium,436,2182.5,250,20,8730,698.4,8031.6,4365,2021-04-04
Small Business,Canada,Carretera,Medium,1094,136750,3,300,328200,29538,298662,273500,2020-10-19
Channel Partners,Mexico,Carretera,Medium,367,550.5,3,12,4404,396.36,4007.64,1101,2020-03-10
Small Business,Canada,Montana,Medium,3802,475312.5,5,300,1140750,102667.5,1038082.5,950625,2020-10-02
Government,France,Montana,Medium,1666,216580,5,350,583100,52479,530621,433160,2018-12-16
Small Business,France,Montana,Medium,322,40250,5,300,96600,8694,87906,80500,2020-03-06
Channel Partners,Canada,Montana,Medium,2321,3481.5,5,12,27852,2506.68,25345.32,6963,2020-08-20
Enterprise,France,Montana,Medium,1857,111420,5,125,232125,20891.25,211233.75,222840,2019-01-07
Government,Canada,Montana,Medium,1611,4027.5,5,7,11277,1014.93,10262.07,8055,2021-05-19
Enterprise,United States of America,Montana,Medium,2797,167820,5,125,349625,31466.25,318158.75,335640,2019-06-29
Small Business,Germany,Montana,Medium,334,41750,5,300,100200,9018,91182,83500,2019-08-06
Small Business,Mexico,Paseo,Medium,2565,320625,10,300,769500,69255,700245,641250,2021-06-04
Government,Mexico,Paseo,Medium,2417,314210,10,350,845950,76135.5,769814.5,628420,2020-11-28
Midmarket,United States of America,Paseo,Medium,3675,18375,10,15,55125,4961.25,50163.75,36750,2019-08-05
Small Business,Canada,Paseo,Medium,1094,136750,10,300,328200,29538,298662,273500,2021-06-21
Midmarket,France,Paseo,Medium,1227,6135,10,15,18405,1656.45,16748.55,12270,2019-12-11
Channel Partners,Mexico,Paseo,Medium,367,550.5,10,12,4404,396.36,4007.64,1101,2019-03-25
Small Business,France,Paseo,Medium,1324,165500,10,300,397200,35748,361452,331000,2019-03-24
Channel Partners,Germany,Paseo,Medium,1775,2662.5,10,12,21300,1917,19383,5325,2020-03-19
Enterprise,United States of America,Paseo,Medium,2797,167820,10,125,349625,31466.25,318158.75,335640,2019-06-06
Midmarket,Mexico,Velo,Medium,245,1225,120,15,3675,330.75,3344.25,2450,2020-04-11
Small Business,Canada,Velo,Medium,3793,474187.5,120,300,1138050,102424.5,1035625.5,948375,2019-05-21
Government,Germany,Velo,Medium,1307,169910,120,350,457450,41170.5,416279.5,339820,2019-05-23
Enterprise,Canada,Velo,Medium,567,34020,120,125,70875,6378.75,64496.25,68040,2019-05-22
Enterprise,Mexico,Velo,Medium,2110,126600,120,125,263750,23737.5,240012.5,253200,2020-03-30
Government,Canada,Velo,Medium,1269,164970,120,350,444150,39973.5,404176.5,329940,2021-01-08
Channel Partners,United States of America,VTT,Medium,1956,2934,250,12,23472,2112.48,21359.52,5868,2021-06-28
Small Business,Germany,VTT,Medium,2659,332375,250,300,797700,71793,725907,664750,2021-05-29
Government,United States of America,VTT,Medium,1351,175695,250,350,473025,42572.25,430452.75,351390,2020-04-06
Channel Partners,Germany,VTT,Medium,880,1320,250,12,10560,950.4,9609.6,2640,2020-08-10
Small Business,United States of America,VTT,Medium,1867,233375,250,300,560100,50409,509691,466750,2021-06-06
Channel Partners,France,VTT,Medium,2234,3351,250,12,26808,2412.72,24395.28,6702,2021-01-08
Midmarket,France,VTT,Medium,1227,6135,250,15,18405,1656.45,16748.55,12270,2019-04-03
Enterprise,Mexico,VTT,Medium,877,52620,250,125,109625,9866.25,99758.75,105240,2018-12-18
Government,United States of America,Amarilla,Medium,2071,269230,260,350,724850,65236.5,659613.5,538460,2019-09-21
Government,Canada,Amarilla,Medium,1269,164970,260,350,444150,39973.5,404176.5,329940,2020-11-26
Midmarket,Germany,Amarilla,Medium,970,4850,260,15,14550,1309.5,13240.5,9700,2019-08-01
Government,Mexico,Amarilla,Medium,1694,8470,260,20,33880,3049.2,30830.8,16940,2020-02-28
Government,Germany,Carretera,Medium,663,3315,3,20,13260,1193.4,12066.6,6630,2020-02-15
Government,Canada,Carretera,Medium,819,2047.5,3,7,5733,515.97,5217.03,4095,2019-06-16
Channel Partners,Germany,Carretera,Medium,1580,2370,3,12,18960,1706.4,17253.6,4740,2018-12-17
Government,Mexico,Carretera,Medium,521,1302.5,3,7,3647,328.23,3318.77,2605,2018-12-21
Government,United States of America,Paseo,Medium,973,4865,10,20,19460,1751.4,17708.6,9730,2020-07-05
Government,Mexico,Paseo,Medium,1038,5190,10,20,20760,1868.4,18891.6,10380,2020-10-25
Government,Germany,Paseo,Medium,360,900,10,7,2520,226.8,2293.2,1800,2020-02-03
Channel Partners,France,Velo,Medium,1967,2950.5,120,12,23604,2124.36,21479.64,5901,2019-09-17
Midmarket,Mexico,Velo,Medium,2628,13140,120,15,39420,3547.8,35872.2,26280,2019-07-13
Government,Germany,VTT,Medium,360,900,250,7,2520,226.8,2293.2,1800,2019-01-11
Government,France,VTT,Medium,2682,13410,250,20,53640,4827.6,48812.4,26820,2021-01-22
Government,Mexico,VTT,Medium,521,1302.5,250,7,3647,328.23,3318.77,2605,2020-12-26
Government,Mexico,Amarilla,Medium,1038,5190,260,20,20760,1868.4,18891.6,10380,2021-05-10
Midmarket,Canada,Amarilla,Medium,1630,8152.5,260,15,24457.5,2201.18,22256.33,16305,2018-10-30
Channel Partners,France,Amarilla,Medium,306,459,260,12,3672,330.48,3341.52,918,2019-02-21
Channel Partners,United States of America,Carretera,High,386,579,3,12,4632,463.2,4168.8,1158,2020-12-21
Government,United States of America,Montana,High,2328,5820,5,7,16296,1629.6,14666.4,11640,2020-04-20
Channel Partners,United States of America,Paseo,High,386,579,10,12,4632,463.2,4168.8,1158,2019-06-17
Enterprise,United States of America,Carretera,High,3445,206730,3,125,430687.5,43068.75,387618.75,413460,2019-12-20
Enterprise,France,Carretera,High,1482,88920,3,125,185250,18525,166725,177840,2019-11-07
Government,United States of America,Montana,High,2313,300690,5,350,809550,80955,728595,601380,2020-03-27
Enterprise,United States of America,Montana,High,1804,108240,5,125,225500,22550,202950,216480,2021-06-08
Midmarket,France,Montana,High,2072,10360,5,15,31080,3108,27972,20720,2021-01-26
Government,France,Paseo,High,1954,9770,10,20,39080,3908,35172,19540,2019-11-18
Small Business,Mexico,Paseo,High,591,73875,10,300,177300,17730,159570,147750,2020-06-18
Midmarket,France,Paseo,High,2167,10835,10,15,32505,3250.5,29254.5,21670,2020-10-30
Government,Germany,Paseo,High,241,1205,10,20,4820,482,4338,2410,2018-11-12
Midmarket,Germany,Velo,High,681,3405,120,15,10215,1021.5,9193.5,6810,2019-12-02
Midmarket,Germany,Velo,High,510,2550,120,15,7650,765,6885,5100,2020-12-31
Midmarket,United States of America,Velo,High,790,3950,120,15,11850,1185,10665,7900,2020-10-01
Government,France,Velo,High,639,83070,120,350,223650,22365,201285,166140,2021-02-19
Enterprise,United States of America,Velo,High,1596,95760,120,125,199500,19950,179550,191520,2019-08-14
Small Business,United States of America,Velo,High,2294,286750,120,300,688200,68820,619380,573500,2019-05-31
Government,Germany,Velo,High,241,1205,120,20,4820,482,4338,2410,2020-10-10
Government,Germany,Velo,High,2665,6662.5,120,7,18655,1865.5,16789.5,13325,2019-05-19
Enterprise,Canada,Velo,High,1916,114960,120,125,239500,23950,215550,229920,2019-03-02
Small Business,France,Velo,High,853,106625,120,300,255900,25590,230310,213250,2020-03-01
Enterprise,Mexico,VTT,High,341,20460,250,125,42625,4262.5,38362.5,40920,2021-06-28
Midmarket,Mexico,VTT,High,641,3205,250,15,9615,961.5,8653.5,6410,2019-10-23
Government,United States of America,VTT,High,2807,364910,250,350,982450,98245,884205,729820,2019-01-27
Small Business,Mexico,VTT,High,432,54000,250,300,129600,12960,116640,108000,2021-07-11
Small Business,United States of America,VTT,High,2294,286750,250,300,688200,68820,619380,573500,2021-06-21
Midmarket,France,VTT,High,2167,10835,250,15,32505,3250.5,29254.5,21670,2020-04-19
Enterprise,Canada,VTT,High,2529,151740,250,125,316125,31612.5,284512.5,303480,2019-09-05
Government,Germany,VTT,High,1870,243100,250,350,654500,65450,589050,486200,2020-11-17
Enterprise,United States of America,Amarilla,High,579,34740,260,125,72375,7237.5,65137.5,69480,2020-02-10
Government,Canada,Amarilla,High,2240,291200,260,350,784000,78400,705600,582400,2021-02-21
Small Business,United States of America,Amarilla,High,2993,374125,260,300,897900,89790,808110,748250,2020-05-30
Channel Partners,Canada,Amarilla,High,3520,5280.75,260,12,42246,4224.6,38021.4,10561.5,2020-04-18
Government,Mexico,Amarilla,High,2039,10195,260,20,40780,4078,36702,20390,2021-03-30
Channel Partners,Germany,Amarilla,High,2574,3861,260,12,30888,3088.8,27799.2,7722,2021-04-27
Government,Canada,Amarilla,High,707,91910,260,350,247450,24745,222705,183820,2020-01-07
Midmarket,France,Amarilla,High,2072,10360,260,15,31080,3108,27972,20720,2019-08-26
Small Business,France,Amarilla,High,853,106625,260,300,255900,25590,230310,213250,2021-01-22
Channel Partners,France,Carretera,High,1198,1797,3,12,14376,1581.36,12794.64,3594,2021-02-17
Government,France,Paseo,High,2532,6330,10,7,17724,1949.64,15774.36,12660,2019-11-13
Channel Partners,France,Paseo,High,1198,1797,10,12,14376,1581.36,12794.64,3594,2019-02-08
Midmarket,Canada,Velo,High,384,1920,120,15,5760,633.6,5126.4,3840,2020-05-21
Channel Partners,Germany,Velo,High,472,708,120,12,5664,623.04,5040.96,1416,2021-07-08
Government,United States of America,VTT,High,1579,3947.5,250,7,11053,1215.83,9837.17,7895,2019-10-19
Channel Partners,Mexico,VTT,High,1005,1507.5,250,12,12060,1326.6,10733.4,3015,2019-04-02
Midmarket,United States of America,Amarilla,High,3199,15997.5,260,15,47992.5,5279.18,42713.33,31995,2019-08-05
Channel Partners,Germany,Amarilla,High,472,708,260,12,5664,623.04,5040.96,1416,2021-01-25
Channel Partners,Canada,Carretera,High,1937,2905.5,3,12,23244,2556.84,20687.16,5811,2020-11-04
Government,Germany,Carretera,High,792,102960,3,350,277200,30492,246708,205920,2019-07-30
Small Business,Germany,Carretera,High,2811,351375,3,300,843300,92763,750537,702750,2018-12-17
Enterprise,France,Carretera,High,2441,146460,3,125,305125,33563.75,271561.25,292920,2019-04-10
Midmarket,Canada,Carretera,High,1560,7800,3,15,23400,2574,20826,15600,2020-09-23
Government,Mexico,Carretera,High,2706,6765,3,7,18942,2083.62,16858.38,13530,2020-04-30
Government,Germany,Montana,High,766,99580,5,350,268100,29491,238609,199160,2020-07-13
Government,Germany,Montana,High,2992,14960,5,20,59840,6582.4,53257.6,29920,2018-11-03
Midmarket,Mexico,Montana,High,2157,10785,5,15,32355,3559.05,28795.95,21570,2020-11-10
Small Business,Canada,Paseo,High,873,109125,10,300,261900,28809,233091,218250,2020-01-29
Government,Mexico,Paseo,High,1122,5610,10,20,22440,2468.4,19971.6,11220,2019-03-16
Government,Canada,Paseo,High,2104,273585,10,350,736575,81023.25,655551.75,547170,2019-07-13
Channel Partners,Canada,Paseo,High,4026,6039,10,12,48312,5314.32,42997.68,12078,2021-05-20
Channel Partners,France,Paseo,High,2425,3638.25,10,12,29106,3201.66,25904.34,7276.5,2018-12-04
Government,Canada,Paseo,High,2394,11970,10,20,47880,5266.8,42613.2,23940,2019-05-14
Midmarket,Mexico,Paseo,High,1984,9920,10,15,29760,3273.6,26486.4,19840,2020-04-25
Enterprise,France,Paseo,High,2441,146460,10,125,305125,33563.75,271561.25,292920,2021-01-13
Government,Germany,Paseo,High,2992,14960,10,20,59840,6582.4,53257.6,29920,2021-06-14
Small Business,Canada,Paseo,High,1366,170750,10,300,409800,45078,364722,341500,2019-07-25
Government,France,Velo,High,2805,14025,120,20,56100,6171,49929,28050,2020-12-16
Midmarket,Mexico,Velo,High,655,3275,120,15,9825,1080.75,8744.25,6550,2021-02-21
Government,Mexico,Velo,High,344,44720,120,350,120400,13244,107156,89440,2018-11-30
Government,Canada,Velo,High,1808,4520,120,7,12656,1392.16,11263.84,9040,2019-09-15
Channel Partners,France,VTT,High,1734,2601,250,12,20808,2288.88,18519.12,5202,2019-08-15
Enterprise,Mexico,VTT,High,554,33240,250,125,69250,7617.5,61632.5,66480,2019-03-15
Government,Canada,VTT,High,2935,14675,250,20,58700,6457,52243,29350,2021-05-15
Enterprise,Germany,Amarilla,High,3165,189900,260,125,395625,43518.75,352106.25,379800,2021-05-08
Government,Mexico,Amarilla,High,2629,13145,260,20,52580,5783.8,46796.2,26290,2021-04-02
Enterprise,France,Amarilla,High,1433,85980,260,125,179125,19703.75,159421.25,171960,2020-12-19
Enterprise,Mexico,Amarilla,High,947,56820,260,125,118375,13021.25,105353.75,113640,2019-04-21
Government,Mexico,Amarilla,High,344,44720,260,350,120400,13244,107156,89440,2021-06-23
Midmarket,Mexico,Amarilla,High,2157,10785,260,15,32355,3559.05,28795.95,21570,2021-02-07
Government,United States of America,Paseo,High,380,950,10,7,2660,292.6,2367.4,1900,2019-09-08
Government,Mexico,Carretera,High,886,115180,3,350,310100,37212,272888,230360,2019-04-10
Enterprise,Canada,Carretera,High,2416,144960,3,125,302000,36240,265760,289920,2019-02-07
Enterprise,Mexico,Carretera,High,2156,129360,3,125,269500,32340,237160,258720,2020-09-13
Midmarket,Canada,Carretera,High,2689,13445,3,15,40335,4840.2,35494.8,26890,2021-04-30
Midmarket,United States of America,Montana,High,677,3385,5,15,10155,1218.6,8936.4,6770,2019-04-05
Small Business,France,Montana,High,1773,221625,5,300,531900,63828,468072,443250,2020-01-23
Government,Mexico,Montana,High,2420,6050,5,7,16940,2032.8,14907.2,12100,2020-09-26
Government,Canada,Montana,High,2734,6835,5,7,19138,2296.56,16841.44,13670,2018-11-27
Government,Mexico,Montana,High,1715,8575,5,20,34300,4116,30184,17150,2019-05-22
Small Business,France,Montana,High,1186,148250,5,300,355800,42696,313104,296500,2021-07-01
Small Business,United States of America,Paseo,High,3495,436875,10,300,1048500,125820,922680,873750,2019-09-17
Government,Mexico,Paseo,High,886,115180,10,350,310100,37212,272888,230360,2021-01-18
Enterprise,Mexico,Paseo,High,2156,129360,10,125,269500,32340,237160,258720,2020-06-10
Government,Mexico,Paseo,High,905,4525,10,20,18100,2172,15928,9050,2021-05-03
Government,Mexico,Paseo,High,1715,8575,10,20,34300,4116,30184,17150,2020-01-09
Government,France,Paseo,High,1594,207220,10,350,557900,66948,490952,414440,2019-02-08
Small Business,Germany,Paseo,High,1359,169875,10,300,407700,48924,358776,339750,2019-01-05
Small Business,Mexico,Paseo,High,2150,268750,10,300,645000,77400,567600,537500,2021-05-22
Government,Mexico,Paseo,High,1197,155610,10,350,418950,50274,368676,311220,2019-05-02
Midmarket,Mexico,Paseo,High,380,1900,10,15,5700,684,5016,3800,2019-10-05
Government,Mexico,Paseo,High,1233,6165,10,20,24660,2959.2,21700.8,12330,2019-07-28
Government,Mexico,Velo,High,1395,181350,120,350,488250,58590,429660,362700,2021-05-14
Government,United States of America,Velo,High,986,128180,120,350,345100,41412,303688,256360,2018-10-20
Government,Mexico,Velo,High,905,4525,120,20,18100,2172,15928,9050,2020-08-28
Channel Partners,Canada,VTT,High,2109,3163.5,250,12,25308,3036.96,22271.04,6327,2019-03-28
Midmarket,France,VTT,High,3874,19372.5,250,15,58117.5,6974.1,51143.4,38745,2019-04-11
Government,Canada,VTT,High,623,80990,250,350,218050,26166,191884,161980,2020-05-06
Government,United States of America,VTT,High,986,128180,250,350,345100,41412,303688,256360,2019-12-24
Enterprise,United States of America,VTT,High,2387,143220,250,125,298375,35805,262570,286440,2020-01-16
Government,Mexico,VTT,High,1233,6165,250,20,24660,2959.2,21700.8,12330,2018-11-06
Government,United States of America,Amarilla,High,270,35100,260,350,94500,11340,83160,70200,2018-11-27
Government,France,Amarilla,High,3421,8553.75,260,7,23950.5,2874.06,21076.44,17107.5,2020-01-13
Government,Canada,Amarilla,High,2734,6835,260,7,19138,2296.56,16841.44,13670,2021-04-07
Midmarket,United States of America,Amarilla,High,2548,12740,260,15,38220,4586.4,33633.6,25480,2018-11-09
Government,France,Carretera,High,2521,12607.5,3,20,50430,6051.6,44378.4,25215,2020-07-01
Channel Partners,Mexico,Montana,High,2661,3991.5,5,12,31932,3831.84,28100.16,7983,2019-08-18
Government,Germany,Paseo,High,1531,7655,10,20,30620,3674.4,26945.6,15310,2021-04-02
Government,France,VTT,High,1491,3727.5,250,7,10437,1252.44,9184.56,7455,2019-10-18
Government,Germany,VTT,High,1531,7655,250,20,30620,3674.4,26945.6,15310,2020-08-30
Channel Partners,Canada,Amarilla,High,2761,4141.5,260,12,33132,3975.84,29156.16,8283,2020-06-29
Midmarket,United States of America,Carretera,High,2567,12835,3,15,38505,5005.65,33499.35,25670,2020-12-26
Midmarket,United States of America,VTT,High,2567,12835,250,15,38505,5005.65,33499.35,25670,2020-01-12
Government,Canada,Carretera,High,923,119990,3,350,323050,41996.5,281053.5,239980,2020-05-12
Government,France,Carretera,High,1790,232700,3,350,626500,81445,545055,465400,2020-12-31
Government,Germany,Carretera,High,442,2210,3,20,8840,1149.2,7690.8,4420,2019-01-11
Government,United States of America,Montana,High,982,127725,5,350,343875,44703.75,299171.25,255450,2019-03-19
Government,United States of America,Montana,High,1298,3245,5,7,9086,1181.18,7904.82,6490,2019-10-29
Channel Partners,Mexico,Montana,High,604,906,5,12,7248,942.24,6305.76,1812,2019-10-26
Government,Mexico,Montana,High,2255,11275,5,20,45100,5863,39237,22550,2020-09-23
Government,Canada,Montana,High,1249,6245,5,20,24980,3247.4,21732.6,12490,2019-07-25
Government,United States of America,Paseo,High,1438,3596.25,10,7,10069.5,1309.04,8760.47,7192.5,2021-06-25
Small Business,Germany,Paseo,High,807,100875,10,300,242100,31473,210627,201750,2019-08-31
Government,United States of America,Paseo,High,2641,13205,10,20,52820,6866.6,45953.4,26410,2019-04-12
